Author,Review,Profession,Date,NumberOfStars
Nadezhda Zhukova,Очень вкусно готовят в столовой!)Частенько там бываю)),Знаток города 9 уровня,4 декабря 2019,5
Анна Богдасарова,"10 лет живу напротив, 10 лет обслуживала и покупала тут свои авто. Хороший центр",Знаток города 5 уровня,24 ноября 2019,5
Лилит,Атмосфера чудесная; персонал знает свое дело; чистота и порядок.,Знаток города 12 уровня,28 октября 2019,5
Nikolay K.,Самый лучший и душевный сервис БМП. А вот отдел продаж жмотистый на скидки.,Знаток города 3 уровня,21 ноября 2019,5
Михаил К.,"Лучший дилерский центр BMW в России. Особенно продавец Капленко Михаил! Настоящий профессионал, рекомендую!",Знаток города 3 уровня,22 августа 2019,5
Альфред,Отличный автосалон. Масло меняю по акции уже второй раз. Дешевле в Москве просто нереально найти.,Знаток города 7 уровня,26 февраля,5
Polar N.,"Качественно, пафосно, консервативно. Очень дорого. В кафе вкусно. Как обычно в Автодоме. Но если у вас нестандартная ситуация, ремонт не предложат. Предложат замену узла или агрегата. Так что есть смысл ездить только по гарантии. Ну или если самолюбие и финансы зашкаливают.",Знаток города 6 уровня,31 августа 2018,4
Кирилл Л.,"В части удобства все хорошо. Обслуживание машинок на уровне, но все крайне дорого. Если машина без гарантии смысла ехать уже нет - полно полуофициальных дилеров. По моторраду за 2 года не нашёл себе ни одного подходящего размера и обслуживание мотоциклов каждый раз заканчивалось какими то неурядицами.",Знаток города 12 уровня,24 февраля 2019,4
Тимофей,"Неплохой салон и сервис, но проверяйте менеджеров и четко ставьте задачи, чтоб получить нужный результат.Наилучшее впечатление - отдел страхования. Девушки действительно стараются помочь и найти лучший вариант.",Знаток города 11 уровня,20 декабря 2018,4
Владимир Д.,"Консультанты мини в этом салоне с гораздо большим успехом могли торговать пивом или семечками у метро. Полное непонимание того, что продают. Хотел купить жене Джон Купер Воркс, но продавщица гастронома даже не додумалась меня на нем покатать.",Знаток города 11 уровня,23 мая 2019,3
Евгений,"Хороший салон, грамотные консультанты, сервис пока оценить не удалось",Знаток города 9 уровня,6 декабря 2019,5
Дмитрий Б.,"Хороший дилер. Качественное обслуживание, подготовленные менеджеры",Знаток города 12 уровня,3 марта,5
Константин Комов,"Салон понравился тёплым климатом отношения к клиенту , неподдельно искреннием общением без прилипания.Корректная и короткая переписка по почте.К сожалению выбрали другой бренд в другом месте . Отдельное спасибо Алексею Соколову. Рекомендую этот дилерский центр !С уважением Константин Комов.",Знаток города 6 уровня,23 декабря 2018,5
Alexander S.,"Качественно, быстро. Отличные специалисты сервиса",Знаток города 8 уровня,1 февраля,4
Konstantin B.,"Лучший автосервис по мотоциклам БМВ, на мой взгляд. Все свои мотоциклы БМВ, а их у меня три, привожу на ТО и доработки только к ним. Накопительная скидка всегда приятный бонус. Спасибо вам.",Знаток города 4 уровня,12 июня 2019,5
Александр Щ.,Очень дорого. Но! Персонал вежливый. Сервис клиентоориентированный.,Знаток города 3 уровня,23 февраля,3
impulsdi S.,"Удивили ! Запчасти привезли быстро! Цены как везде, консультация на высоте!Спасибо отделу запчастей👍",Знаток города 14 уровня,4 июля 2019,5
Иванов Г.,"Не уважительное отношение персонала. Зашёл с желанием купить Х6, имея в кармане полную сумму на неё. Спросил о конкретной скидке, диалог с менеджером:Я: -здравствуйте, хочу купить Х6, можете ли отдать ее за *** сумму?Менеджер: -если скажу что да, че дальше? Я: -дальше? Готов купить!Менеджер: -за наличные чтоли?Я: - да!Менеджер: -ну тогда не будет вам скидки!Это вообще нормальный диалог?",Знаток города 7 уровня,22 декабря 2018,1
Александр Е.,"Отличный сервис. Особое спасибо Максиму Горбунову, всегда все на высоком уровне и ничего лишнего.",Знаток города 5 уровня,14 августа 2019,5
Весна Лето,"Некомпетентность сотрудников. Медлительность. Предлагали пересесть на другие авто вместо БМВ, ссылаясь на некачественную сборку. P.s. может мне такой менеджер попался :( не повезло",Знаток города 14 уровня,17 июля 2019,1
Alex C.,"Хороший отзывчивый персонал. Обслуживаемся в сервисный центр с 2004 года. Всегда все по новому, без нареканий.",Знаток города 5 уровня,13 апреля 2019,5
Артём К.,"Неплохой салон, в наличии есть авто, готовы торговаться за наличу",Знаток города 11 уровня,21 ноября 2019,4
Nega N.,"Привет автодом , скажите прощвоны с номера 905 7534757 это ваш номер?? Просто говорят автодом !!",Знаток города 3 уровня,31 декабря 2019,1
# Д.,"Самый старый и самый лучший Автодом! Как по мотоциклам, так и по автомобилям!",Знаток города 13 уровня,9 декабря 2019,5
Михаил,"Некогда лучший дилер BMW в Москве.Но сейчас, по непонятным для меня причинам, не могут предложить ни желаемый авто по комплектации, ни конкурентной (по сравнению с конкурентами) цены.",Знаток города 18 уровня,17 мая 2019,4
Андрей Б.,"Есть парковка,которую можно использовать,когда есть футбол.)))",Знаток города 5 уровня,28 октября 2019,5
Борис Б.,"Полное безразличие,халатное отношение,сплошной обман со стороны всех сотрудников с которыми приходилось общаться при покупке нового автомобиля.Профессионалов в АВТОДОМе НЕТ.Не советую особенно 51 км МКАД",Знаток города 4 уровня,30 мая 2019,1
Артём М.,Спасибо менеджеру Александру за помощь в выборе мотоцикла.,Знаток города 8 уровня,9 марта,5
Иван Б.,Замечательное место. Прекрасный автосалон и сервис,Знаток города 10 уровня,15 октября 2019,5
Кирилл,Спасибо большое менеджеру Алексею. Один из лучших в своём деле!,Знаток города 6 уровня,9 февраля,5
User U.,"Пока все нравится. Проходил ТО. Приемщик Алексей отработал на 5. Был вежлив и предупредителен. Отзвонился, когда работы закончили. Допы не навязывал. Все по существу. Есть вопросы к самому автомобилю Х6, но это уже другая история.",Знаток города 9 уровня,22 декабря 2018,5
Ек П.,"Ужасный сервисный центр, низкоквалифицированный, некомпетентный и хамоватый административный персонал.",Знаток города 2 уровня,18 ноября 2019,1
Артем А.,"К сожалению, очень разочаровала работа сервиса. Приехал на гарантийной машине с неисправными тормозами, уже месяц жду замены тормозных дисков. Разумеется, ни о каком подменном авто даже речи не идёт.",Знаток города 3 уровня,14 мая 2019,2
Руслан А.,Дефектовали машину для страховой компании. Быстро и четко,Знаток города 4 уровня,19 ноября 2019,5
Пользователь,"По ремонту все плохо. Он происходит только заменой агрегатов по принципу - наверное, дело в этом, но, если не в этом - мы гарантию не дадим, что все починим - предложим ещё что-нибудь поменять, пока методом проб и ошибок за счет клиента не найдем то, в чем все же дело (неисправность). Обращался несколько раз по ремонтам (электроника, ГУР) - дальше диагностики не зашло. Предлагали просто все менять. Наверное, имеет смысл отдавать только автомобили по гарантии ремонтировать, или, если есть очень много денег и ты в них совсем не разбираешься.P.S. Очень давно обращался с вопросом замерить давление в магистрале ГУР по данным и посмотреть рабочее давление (в TIS такая процедура есть) - по телефону сказали, что есть все переходники и прочее - в реальности, ничего сделать не смогли. Предложили поменять все - рулевой редуктор, насос ГУР и.т.п, чтобы наверняка все работало как надо.",Знаток города 10 уровня,26 марта 2019,2
Takeshi,Забрали здесь свою Х4 и сюда же езжу в сервис. Очень нравится по доступности. Закрасили дверь просто отлично с учетом что цвет сложный у меня.,Знаток города 10 уровня,17 февраля,5
Дмитрий,"20.09.2019 Договорились заранее!!! на тест драйв Х4, приехали ... менеджер Иван... говорит нету машины. прокатитесь на Х3 та же база (хотелось послать тк ее вообще не рассматриваем) ну да ладно раз приехали согласились. стал оформлять. снял все копии, вдруг подскакивает и бежит к каким то клиентам. 10 минут вокруг них суетился, подходит и говорит Х3 тоже нет она стоит на установки доп оборудования... а сам опять к этим клиентам. вообщем решили брать у другого диллера! и цена оказалась в другом месте интересней!",Знаток города 4 уровня,25 сентября 2019,1
Елена,"Всегда делаю ТО только здесь. Мастер Роман Перунов, уже много лет доверяю ему, сначала обслуживал по гарантии, и поменяли некоторые дорогие узлы. Дальше продолжила обслуживаться уже по ТО.",Знаток города 4 уровня,24 февраля 2019,5
Константин С.,"Отличные ребята, качественный сервис и не разводят на допы",Знаток города 6 уровня,3 февраля,5
Евгений А.,Всё на высшем уровне. Очень вкусная еда в кафе.,Знаток города 10 уровня,11 ноября 2019,5
Эдуард Ф.,Самый лучший сервис в Москве по после продажного обслуживания автомобилей BMW.,Знаток города 3 уровня,3 октября 2019,5
Сергей Г.,"Обслуживаю bmw x3, нареканий к качеству обслуживания нет. Мастер Александр Никитин очень грамотный специалист, лишнего не советует.",Знаток города 4 уровня,13 мая 2019,4
Павел Д.,"Уже много лет обслуживаюсь тут, ушел от Авилона который просто розвонил на бабки в явном виде. Мне не приятно когда меня разводят на бабки, с Автодом такого не было замечено. Лучший сервис.",Знаток города 12 уровня,25 апреля 2019,5
Denis,"Менеджер по продажам с эго, которое больше его самого: хамил, хотя вопрос был всего лишь о том, могут ли они сделать предложение лучше... в бан... купили в результате в рольф премиум, чему очень рады",Знаток города 8 уровня,27 апреля 2019,1
Анна Б.,"Хороший сервис, оперативно и качественно",Знаток города 5 уровня,30 декабря 2019,5
владимир лобзов,Немцы есть немцы.Конечно компания баварские моторостойтельный завод не допустит плохого отношения к своим клиентам и статус дилера официального дается не просто так.Всё на высочайшем уровне.Но и стоит конечно не дешево:-(,Знаток города 11 уровня,21 февраля 2019,5
Марк К.,"Эти ребята делают всем нам огромное одолжение, что пускают в свой элитный сервис😏",Знаток города 7 уровня,15 марта,3
Андрей С.,Все как всегда отлично. Работают квалифицированные и грамотные люди.,Знаток города 4 уровня,31 августа 2019,5
Егор Серов,"Хорошо дисциплинированный культурный персонал. Дороже по сравнению с другими диллерами, но хоть, не нахамят, и настроение не испортят",Знаток города 8 уровня,25 августа 2019,5
Роман,Все очень четко и без лишней волокиты. Спасибо!,Знаток города 2 уровня,16 января,5
Вячеслав Т.,"Сервис норм, удобно что ехать далеко не надо. Ценник...., но он везде такой.",Знаток города 6 уровня,30 января,5
Михаил М.,"Хотел купить в Автодоме машину . Той , что мне надо , в наличии не было , но менеджер сказал , что машина уже в пути и будет уже через неделю и , как только она приедет , он мне сразу же отзвонит . Прошла неделя , две , три ......Мой менеджер пропал с концами ! В итоге купил машину в другом салоне . Потом приезжал в Автодом менять масло . Всё сделали очень быстро и очень вежливо .",Знаток города 6 уровня,2 сентября 2018,4
alex skr,"Вкусные бизнес-ланчи. Машину от БМВ никогда не куплю, предпочитаю японцев",Знаток города 3 уровня,8 января,4
Marina K.,Сервис отличный!! Спасибо Лызлаеву Владимиру!,Знаток города 2 уровня,15 января,5
*,"Отличные мастера, хорошее обслуживание. Постоянно езжу туда на ТО. Есть приемка с удалённым урегулированием убытков по страховым. Неплохое кафе, если нужно подождать машину на территории ОД.",Знаток города 10 уровня,20 января 2019,5
Александр П.,Обслуживаюсь в Автодоме на Зорге 4 года. Всегда получал качественный сервис за приемлемые деньги.,Знаток города 2 уровня,9 сентября 2019,5
Магомед Т.,"Обслуживания на самом высшем уровне, менеджеры внимательные, покупали бмв 530, сделали скидку и подарили третий год гарантии, спасибо.",Знаток города 4 уровня,4 января,5
Oleg Skoruta,"Был в сервисе, очень оперативно провели работы, в том числе нашли проблему по гарантии и устранили.",Знаток города 9 уровня,6 сентября 2019,5
Марина Я.,"Автодом как всегда очень уютный,если ты знаешь почти всех менеджеров,приезжаешь как в родной город)))",Знаток города 6 уровня,2 июня 2019,5
Франсуа К.,"В целом все хорошо, очень оперативно и качественно. Хотелось, бы правда, более качественной приемки автомобиля на ремонт",Знаток города 3 уровня,20 декабря 2018,5
Алексей П.,"Очень приятные менеджеры, хорошие скидки.",Знаток города 6 уровня,19 марта,5
Дмитрий,Всегда как дома. Самый приветливый персонал. Лучшее место для покупки авто и мото в Москве. Все сюда👍👍👍,Знаток города 10 уровня,4 февраля 2019,5
Андрей П.,"Хороший салон, достаточно приветливый персонал. Изетта в экспозиции :)",Знаток города 12 уровня,9 июля 2019,5
Ирина Б.,Хороший салон. Павел Прохорукин топовый менеджер.,Знаток города 4 уровня,16 марта,5
андрей н.,Плохо сделали регулировку углов развала и схождения колёс. Деньги вернули. Вопрос не в деньгах. А в качестве выполненных работ. Позор «Автодом» на улице Зорге.,Знаток города 2 уровня,23 июня 2019,2
Ольга,Очень внимательные и грамотные консультанты,Знаток города 6 уровня,20 февраля,5
Tikhon Tyurin,"Жена два раза обращалась с гарантийной машиной, оба раза развели на деньги. Для меня очевидно, что это была дискриминация по половому и национальному признаку. Больше никогда не обращусь. БЕРЕГИТЕ НЕРВЫ И СВОЙ АВТОМОБИЛЬ - ИЗБЕГАЙТЕ АВТОДОМ!",Знаток города 4 уровня,5 января 2019,1
Дмитрия В.,"Неплохой салон. Но при выполнении техобслуживания не все выполняют пункты. Так например могут прописать доливку антифриза, а по факту она и не производилась и через пару тысяч км датчик покажет нехватку антифриза.",Знаток города 6 уровня,17 января 2019,4
Ivan Ivanov,Самый крутой салон BMW в Москве и самый первый!!!,Знаток города 7 уровня,17 января,5
Светлана Г.,Консультант не смог дать совет по поводу где в Симферополе можно заправиться качественным дизтопливом,Знаток города 5 уровня,9 сентября 2019,4
Алексей А.,Один из лучших автосалонов. Постоянно заказываю там запчасти!,Знаток города 5 уровня,19 декабря 2019,5
Григорий Б.,Норм дилер. Все нерасторопны и с чувством собственного достоинства),Знаток города 3 уровня,14 октября 2019,4
Самвел Н.,"Душевно, комфортно. Без надрыва, солидно. Рекомендую менеджера отдела продаж Романа.",Знаток города 8 уровня,12 мая 2019,5
Elza N.,Только им доверяю свой автомобиль! Спасибо за качество сервиса),Знаток города 5 уровня,28 ноября 2019,5
Сергей Сидоров,"Обслуживаю тут свой ам, но пришёл слюда не сразу, хотя реально сервис в не конкуренции по сравнению со многими",Знаток города 9 уровня,24 августа 2019,5
Ваня А.,"Был во многих сервисах подобного типа,этот огорчил обслуживанием и качеством работ, да и цена не порадовала",Знаток города 4 уровня,29 июля 2019,2
Екатерина М.,"Отзывчивый персонал, что в мото, что в авто отделах. Обслуживаю у них авто, все супер",Знаток города 4 уровня,22 мая 2019,5
Алексей Морозов,"Владимир Слепов отличный мастер- приёмщик! Как сейчас говорят стрессоустойчивый! :) ответил на все вопросы, а их накопилось очень много!",Знаток города 9 уровня,15 июля 2019,5
SuperCEH0,Рекомендую к посещению! Останетесь довольны!,Знаток города 5 уровня,26 января,5
Валерий Алексеев,Хороший салон! Отличный сервис с внимательными сотрудниками!!! Менеджеры по продажам просто профессионалы!!!,Знаток города 18 уровня,5 февраля 2019,5
Сергей Личаев,"Менеджеры не видят клиентов, считают себя выше других, наверное. Минут сорок ходил по салону, никто не подошёл. Хотя в тот момент искал авто. Купил Вольво, чему очень рад.",Знаток города 6 уровня,11 апреля 2019,1
Евгений,Прекрасная работа менеджера Яскевича Иллариона.,Знаток города 9 уровня,1 ноября 2019,5
олег,Рузакову Петру респект!!! Все на уровне!,Знаток города 4 уровня,20 декабря 2019,5
Иван В.,Не рекомендую. Клиентоориентированность отсутствует.,Знаток города 3 уровня,11 марта,1
Dimia D.,Авто дом красивые и качественные тачки,Знаток города 3 уровня,10 февраля,5
Oleg S.,Супер сервис. Мастер приёмщик Андрей профи,Знаток города 4 уровня,10 октября 2019,5
Anna Tuhvatullina,"Профессиональный подход, хорошие условия",Знаток города 3 уровня,28 января,5
Иван С.,Вежливые и квалифицированный персонал,Знаток города 5 уровня,13 октября 2019,5
Юлия A.,"Отличный сервис, квалифицированные сотрудники, высокий уровень обслуживания.",Знаток города 7 уровня,3 декабря 2019,5
Алексей Кудрин,Отличное место. Приветливый персонал. Все процессы и специалисты работают на клиента. Большое спасибо!,Знаток города 4 уровня,10 ноября 2018,5
Сергей Демидов,Отличный дилер-рольфу на него надо ровнятся.,Знаток города 16 уровня,7 октября 2019,5
Александр Д.,"Приятный персонал. Подбирал мотоэкипировку, все показали что я просил",Знаток города 13 уровня,7 сентября 2019,5
Илья У.,"Все отлично, ребята молодцы!!!",Знаток города 3 уровня,12 октября 2019,5
Павел Б.,"Один из самых первых салонов БМВ, в свое время по страховке чинил свой авто, заняло 1.5 месяца и в итоге был ужасно покрашен, они надеялись что я не замечу разницы в цвете, потом оправдывались что красил новечок , заставил переделовать",Знаток города 8 уровня,31 октября 2018,4
Лёша Бойко,"Хороший сервис,но зависит от мастера приёмщика",Знаток города 5 уровня,3 октября 2019,4
Marchelo,Хороший авто и мотоспорт БМВ. Покупал там),Знаток города 12 уровня,15 октября 2019,5
Антон Беспалов,"Хороший дилер, компетентные специалисты",Знаток города 9 уровня,26 сентября 2019,5
Кирилл А.,Иногда дают хорошие цены на новые авто.,Знаток города 7 уровня,26 января,4
Дмитрий Е.,"Единственное, что не понравилось это как помыли машинуПонятно что это преподноситься, как бесплатно, но все зависит от мелочей, плохо помыли, значит и ко всему отношение и так сойдет",Знаток города 3 уровня,27 ноября 2018,3
Alexander K.,все достаточно неплохо. скидки и накопитальная карта для постоянных клиентов. нет претензий по качеству работ. близко к дому и гаражу,Знаток города 6 уровня,28 ноября 2018,5
Евгений П.,Персонал мне кажется взят с АВТОВАЗа! Покупаю машину за 5млн хочется как то это почувствовать!,Знаток города 8 уровня,16 сентября 2019,4
Пётр,Стали давать ваучер на бесплатный напиток. Молодцы.,Знаток города 9 уровня,24 декабря 2019,5
Елена К.,Отвратительный дилерский центр. Скотское отношение к клиенту. Рекомендую руководству этого филиала поменять менеджеров (особенно в отделе MINI),Знаток города 2 уровня,22 мая 2019,1
Евгений П.,Отличные мастера хороший сервис,Знаток города 5 уровня,17 января,5
Кайзер Сузе,"Хороший салон, приятное обслуживание",Знаток города 4 уровня,5 января,5
Андрей В.,"Очно общение на 5 с плюсом. Как только выходишь за предылы про тебя зыбывают. Приходиться звонить и напоминать о себе раз по 10, как буд то мне это нужно, а не им....",Знаток города 3 уровня,13 февраля 2019,3
Виктор Г.,"Из всех салонов где покупал/обслуживал, самое лучшее отношение во всем и не сталкивался с разводом.",Знаток города 8 уровня,22 июля 2019,5
Антон П.,Отличный сервис опытные мастера,Знаток города 6 уровня,8 октября 2019,5
Navi,Прикольные машинки. Хороший сервис,Знаток города 13 уровня,6 декабря 2019,5
Пользователь,"Дилер, где можно получать самую минимальную скидку. Менеджеры предельно расслаблены и демотивированы.",Знаток города 4 уровня,24 февраля 2019,2
Константин Касаткин,Вот уже 8 лет пользуюсь услугами дилера и сервиса),Знаток города 11 уровня,21 октября 2019,5
Артем K,"Удобное месторасположение, хороший и профессиональный состав сотрудников. Нареканий по сервису ни разу не было.",Знаток города 13 уровня,28 октября 2018,5
Евгений Антюфеев,"Хороший салон и менеджеры, можно приезжать",Знаток города 3 уровня,1 декабря 2019,5
Максим Р.,"Автосалон рекомендовал знакомый, он там уже не первую машину обслуживает. Мне тоже понравился. В сервис не заезжал, но работа менеджера по продажам впечатлила. Выгодно приобрел автомобиль)",Знаток города 5 уровня,10 августа 2019,5
Сергей,"Парковка, хорошие продавцы в мини",Знаток города 5 уровня,28 января,5
Медведев Олег,"Покупали тут автомобиль, остались очень приятные впечатления.",Знаток города 20 уровня,26 августа 2019,5
Юрий У.,"Обслуживание при покупке автомобиля, хуже чем у корейцев. Оформляют документы долго.И только после внесения денег выясняется что ПТС они привезут в течение 5 рабочих дней. Обслуживание не разу не премиальные, ищите другой салон.",Знаток города 7 уровня,13 сентября 2018,1
Евгений,"Хорошие опытные мастера сервиса. Автосалон уже старый, площадь не позволяет выставить достаточное количество машин",Знаток города 18 уровня,25 декабря 2018,4
Василий М.,Взял X5 осенью. До сих пор радуюсь покупке. Спасибо за быстрое оформление.,Знаток города 3 уровня,6 сентября 2019,5
Сергей Н.,Всегда высокий уровень обслуживания,Знаток города 5 уровня,26 сентября 2019,5
ТОНЕР МАРКЕТ,"Отличный сервис во всем, очень доволен, всем рекомендую! Именно сервис!",Знаток города 4 уровня,19 февраля 2019,5
Сергей Д.,"Отслуживаюсь там, все устраивает.Спасибо Перунову Сергею.",Знаток города 7 уровня,16 сентября 2019,5
Аделя С.,Обращалась сюда по осаго на ремонт. Все сделали в срок и качественно! Спасибо.,Знаток города 7 уровня,18 июня 2019,5
Владимир Поляков,"Отвратительный дилер, заспамили смс и звонками",Знаток города 12 уровня,22 ноября 2019,1
Вадим С.,"Хорошо. Кофе дорого. Дают скидки, работают профессионалы",Знаток города 9 уровня,18 августа 2019,5
Сергей Ч.,Обслуживаю там уже третью новую машину. Всегда все четко и вовремя,Знаток города 5 уровня,19 августа 2019,5
Артем Колосков,"Очень жадные. Это их право, но осадочек остался",Знаток города 6 уровня,7 декабря 2019,3
Алексей Свиньин,"Посещаю bmw motorrad. Хороший сервис, иногда пытаются навязать лишнее, но не настойчиво.",Знаток города 7 уровня,19 сентября 2019,5
Анастасия С.,"Если вы придёте к концу рабочего дня после работы, к вам не подойдёт ни один менеджер. Они в это время уже домой собираются. Больше не приеду",Знаток города 12 уровня,9 марта 2019,3
Андрей Кудряшов,"Сама марка не очень качество у них хромает, но зато всегда есть свободные места для парковки на ночь)",Знаток города 8 уровня,16 января 2019,4
Sergei Maximchuk,Отличное сервисное обслуживание,Знаток города 5 уровня,28 декабря 2019,5
Лика Л.,"Постоянному покупателю любой каприз, это не может не нравится)) а еще в кафе автосалона можно очень вкусно покушать))",Знаток города 6 уровня,19 августа 2018,5
андрей ш.,Мне кажется там самые лучшие мастера),Знаток города 4 уровня,20 октября 2019,5
Андрей Антонян,"Не советую посещать, без спроса осуществляют дополнительные работы на новенькой машине!",Знаток города 10 уровня,6 августа 2019,1
Гость,"Самый лучший дилер BMW и BMW Motorrad в России.Прекрасная атмосфера, сервисное обслуживание мотоциклов лучшее в стране, компетенция механиков запредельная!!",Знаток города 3 уровня,14 июля 2018,5
Глеб П.,Хороший дилер бмв - один из старейших в Москве. Мастеру приемщику Александру Никитину-отдельная благодарность.,Знаток города 5 уровня,18 декабря 2018,5
Алексей Ламтев,Открытые общительные ребята!,Знаток города 2 уровня,17 марта,5
Юра,сервис лучший - однозначно. продажи и цены - нет,Знаток города 19 уровня,18 сентября 2019,4
Валерия К.,"Охрана самая лучшая в Москве, все сотрудники вежливые и опрятные.",Знаток города 2 уровня,26 апреля 2019,5
Андрей П.,"Отличный сервис, отличные люди!",Знаток города 5 уровня,8 марта,5
Роман Бидненко,"Хороший сервис,вменяемый персонал!Молорики!",Знаток города 9 уровня,26 августа 2019,5
Ростислав Биденко,Сервис и атмосфера на уровне 👌,Знаток города 2 уровня,9 ноября 2019,5
Роман Г.,"Отличный салон, душевное отношение, есть x7 в наличии.",Знаток города 2 уровня,25 июня 2019,5
Андрей Кондратьев,Авто и мотоцикл обслуживаю на Зорге 17. Езжу к конкретному мастеру всегда - все супер. Про других мастеров сказать не могу.,Знаток города 10 уровня,22 декабря 2018,5
ANDREI K.,Отличный дилерский центр!,Знаток города 4 уровня,27 февраля,5
Вера Н.,"Сервис не надвязывают, делают качественно и быстро.",Знаток города 4 уровня,15 сентября 2019,5
Дмитрий Г.,Обслуживание хорошее.Но цены ломовые.,Знаток города 8 уровня,30 октября 2019,4
Никита К.,Лучший сервис БМВ по моему мнению,Знаток города 13 уровня,23 января,4
Юрий Ильин,Купил у них мот. Всё понравилось.,Знаток города 5 уровня,6 января,5
Ваня Пинчук,Нравится выбор автомобилей,Знаток города 5 уровня,6 января,4
Александр Пекарев,Удобное расположение. Лишних услуг не навязывают вроде бы. Цены лояльные относительно других официальных дилеров БМВ.,Знаток города 6 уровня,29 августа 2019,5
Олег М.,Персонал не заинтересовывает.Нет скидок.Тесно внутри.Нет мест на парковке.,Знаток города 8 уровня,16 сентября 2019,5
Наталья,"Нормально, без явных проблем. Парковка сейчас перерыта, припарковаться возле Автодома негде.",Знаток города 9 уровня,19 мая 2019,4
Людмила,"Рядом с домом, удобно",Знаток города 9 уровня,4 октября 2019,5
Роман А.,"Отвратительно, особенно персонал!!!!",Знаток города 8 уровня,23 ноября 2019,1
Алексей Жаров,Хороший дилерский центр.,Знаток города 13 уровня,29 октября 2019,4
Яков Пейсахзон,"Вроде и делают норм, но клиентоориентированность никакая, а стоит дорого.",Знаток города 10 уровня,28 июля 2019,3
Дима,Один из лучших ОД бмв в Москве,Знаток города 6 уровня,1 марта,5
Антон Купринов,"Все отл, только бы чуть больше места для парковки перед салоном",Знаток города 5 уровня,5 июля 2019,4
Кирилл М.,Хороший сервисный центр. Регулярно пользуюсь. Никаких замечаний,Знаток города 10 уровня,18 июня 2019,5
ИЛ4,"Работают профессионально. Особенно ценю то, что обещания не расходятся с действительностью. Сроки никогда не нарушали, качество сервисных работ неизменно высокое.",Знаток города 5 уровня,11 августа 2019,5
Серж С.,Кофем бы ещё угощали клиентов,Знаток города 4 уровня,24 декабря 2019,4
Анна Белашова,"Приветливый персонал, идут на встречу клиенту))). Купили Тут Машинку, все очень понравилось 😊😊😊",Знаток города 3 уровня,1 ноября 2018,5
Данила,"Ужасные кредитные специалисты. Не дают на руки копи Документов, отмалчиваются, в последний момент изменяют процентную ставку и навязывают кучу дополнительных услуг",Знаток города 3 уровня,3 октября 2018,1
Павел Х.,Машину покупаю и обслуживаю только тут. Хороший дилер,Знаток города 6 уровня,21 августа 2019,5
Игорь Л.,Обсуживаюсь уже 6 лет. Нет никпких нареканий. Отличный сервис! Очень дружелюбные менеджеры!,Знаток города 4 уровня,1 сентября 2018,5
Максим Ю.,Хорошо работают менеджеры,Знаток города 10 уровня,6 октября 2019,5
Синякин Сергей,Отличное место для обслуживания своего автомобиля BMW. Лучшего дилера не найти!,Знаток города 7 уровня,9 ноября 2018,5
Виктор П.,Нехватка приоритетных моделей,Знаток города 5 уровня,26 ноября 2019,3
Владимир,"Радуют постоянные скидки на услуги или комплекс услуг, такие как замена масла и прочее.",Знаток города 7 уровня,25 ноября 2019,5
Evgeny I.,Хороший сервис для владельцев баварской марки,Знаток города 11 уровня,29 августа 2019,5
Эльдар Т.,Лучший дилер bmw в России.,Знаток города 3 уровня,1 октября 2019,5
Вера В.,ТО на 5. Машина вымыта на 2!,Знаток города 5 уровня,29 февраля,5
Iv. Litv,"Что мне нравится в их сервисном центре, так это то, что запчасти всегда оригинальные, и выдают машину после ремонта четко в назначенный день.",Знаток города 5 уровня,11 августа 2019,5
Артем М.,Дорого но качественно,Знаток города 6 уровня,19 октября 2019,5
Андрей К.,"Пятый год обслуживаюсь в Автодроме на Зорге,хотя брали свою ""трёшку"" в Авилоне.Нареканий не имею.Менеджеры и Мастера доброжелательны, качество работ на высоте.",Знаток города 6 уровня,12 декабря 2018,5
Сергей Х.,Лучший дилерский центр,Знаток города 3 уровня,9 февраля,5
Сергей Нагайцев,Всё для клиента. Менеджер Роман Гончаров лучший,Знаток города 6 уровня,18 августа 2019,5
Роман К.,Как всегда все оперативно и без навязывания ненужных услуг.с Вами с 2013 года,Знаток города 4 уровня,12 февраля 2019,5
Lenchez Черников,Отвратительное отношение к клиентам сервиса при обращении по гарантийный случаям.,Знаток города 18 уровня,21 июля 2019,1
d.stepanov@fineart-print.ru,Очень высокий уровень,Знаток города 5 уровня,26 января,5
Alex Korolkov,"Мотосалон и сервис на 5 баллов, про авто часть не могу сказать, не пользовался",Знаток города 4 уровня,2 июня 2019,5
Роман Глебов,Вежливые приемщики.Хорошая цена на ТО. Купон на кофе)),Знаток города 7 уровня,8 июля 2019,5
Иван,"В целом приятный салон, но продавцы могли бы быть посговорчивее",Знаток города 9 уровня,17 мая 2019,4
Николай Гудков,Четко ровно мощно,Знаток города 8 уровня,14 марта,5
Наташа Литвинова,"Ну такое) отличный состав менеджеров по продажам, но есть над чем работать. Очень долго все, а в кафе невкусно и дорого",Знаток города 5 уровня,19 сентября 2018,4
Билал Амиров,Красивое местечко,Знаток города 7 уровня,1 января,5
Ашот Кабаца,мастера мотосервиса с руками что надо.! Довольна очень.,Знаток города 9 уровня,12 июля 2019,5
Денис С.,Качественный сервис.,Знаток города 9 уровня,29 октября 2019,5
