Author,Review,Profession,Date,NumberOfStars
Николай М.,"Отличный салон, хорошие менеджеры. Дмитрий просто молодец, делает отличные условия на машины.",Знаток города 7 уровня,19 июля 2019,5
Anubis,Сделал покупку... быстро и не дорого!покупкой доволен!,Знаток города 11 уровня,4 января,5
Евгений Б.,Прикупил и у них классную машину б у! Менеджер Виталий 👍,Знаток города 2 уровня,12 марта,5
Николай С.,Адекватно общаются только с клиентами у которых деньги вываливаются из карманов .,Знаток города 3 уровня,11 февраля,3
Янни,Выбирали мотоцикл. Продавец не компетентный. Интереса к продаже не проявил.,Знаток города 6 уровня,1 марта,3
Игорь У.,"Салон по продаже подержанных автомобилей, обратился по рекламе на Авто точка ру, встретили и рассказали о интересующих меня автомобилях. Рассказали о каждом авто , готовы подобрать авто по желанию клиента.",Знаток города 7 уровня,29 декабря 2018,5
Дмитрий,"Норм салон - покупал тут мото - еще в независимости, потом авто - уже в авилон. Все нравится. Не пойму только зачем с первого этажа моты убрали?!",Знаток города 16 уровня,28 мая 2019,5
OpiLune,"Если нужна BMW с пробегом, то стоит сюда заехать. Много машин в наличии, большую часть перекидывают с Волгоградского проспекта.",Знаток города 11 уровня,21 августа 2019,5
Неттто Абстрактный,"даже нет смысла , что то писать ... просто забудьте о этой помойке т сохраните нервы и деньги",Знаток города 8 уровня,16 января,1
Sergei R.,"Пользовался услугами bmw motorrad, отличные ребята, особенно, продавец Николай",Знаток города 9 уровня,19 июля 2019,5
Юрий И.,"Очень хороший центр,персонал вежливый",Знаток города 15 уровня,13 марта,5
юрий с.,"Обслуживание в данном сервисе мягко говоря - низкого уровня. Записался на 19-00 , работы были обычные (развал- схождение) со слов приемщика максимум на 2,5часа. А в результате прождал 4 часа !!",Знаток города 4 уровня,28 апреля 2019,1
Smartbnb,Готовьтесь провести целый день при банальной замене тормозных колодок,Знаток города 6 уровня,20 октября 2019,2
Dmitriy S.,"Отличный салон! Отличное обслуживание! Без проблем и задержек организовали мне тест драйв и согласовали с руководителем отдела хорошее предложение на 520 d. Сейчас принимаю решение, но уже думаю что точно определился. Спасибо!",Знаток города 4 уровня,1 октября 2018,5
Евгений Бовсуновский,"1) Не верно была озвучена конечная стоимость ремонта. Ремонт обошёлся дороже озвучиной стоимости;2) Не выдержан озвучиный срок ремонта, машину задержали на 1 час. При этом звонка о задержке не было;3) Распечатку по результатам сход-развала не предоставили;4) На вопрос о причине высветившейся неисправности ответить не смогли, только отшутились.4 года делал ТО в Незовисимости, нариканий, даже молейших, небыло. По результатам посещения Авилона остался неприятный осадок, возможно не повезло с приемщиком. Жаль, салон мне очень нравился, но придётся искать новое место.",Знаток города 4 уровня,20 августа 2018,1
Александр К.,"Профессиональный подход, вежливое общение",Знаток города 7 уровня,15 ноября 2019,5
Oleg Leonidovich T.,"Всё на уровне. Авилон это имя, которому доверяют многие. И не зря.",Знаток города 31 уровня,29 октября 2019,5
Вадим И.,Отдел Trade-in на уровне. Отношение ко мне было лучше не придумать,Знаток города 13 уровня,5 ноября 2019,5
Дима К.,"Позвонил в салон узнать стоимость замены передних колодок на бмв f10( только работа ) сказали по телефону одну сумму , сделав при этом на первое посещение 20 % скидку , приехав по факту , взвинтили цену в два раза, что составило порядка 9 тысяч . Вопрос не в деньгах , а в том насколько недостоверно предоставлена была информация путём обмана . Зачем заманивать так клиентов и потом выставлять другую сумму ... настроение испорчено .",Знаток города 4 уровня,28 октября 2018,1
Марина А.,"Все в видео на ютьбе: ""BMW-Борзота Мошенников Вечна"" от 11.09.2017.",Знаток города 3 уровня,25 февраля,1
Михаил О.,Вавилон держит марку. Чисто. Аккуратно. Вежливо. Молодцы,Знаток города 15 уровня,1 августа 2019,5
Юлия Щ.,"Отличный сервис, все понравилось.",Знаток города 2 уровня,17 октября 2019,5
Дмитрий,"Хороший салон, покупал машину все устроило",Знаток города 9 уровня,6 марта,5
Alex Bogachev,Один из наиболее адекватных дилеров с хорошим персоналом.Ойл сервис только здесь.,Знаток города 7 уровня,30 марта 2019,5
Виктория М.,"отношение к клиенту оставляет желать лучшего! вернули автомобиль с повреждениями по кузову, решение проблемы - никакое!",Знаток города 3 уровня,18 июня 2019,1
Дмитрий Алексеев,Норм по ценам. По обслуживанию хор. Б/у.,Знаток города 8 уровня,9 октября 2019,5
Илья Садиков,"Милый персонал, хороший шоу-рум, все достойно. BMW ведь)",Знаток города 10 уровня,19 июня 2019,5
Анастасия Меркулова,"Хуже не придумаешь!!!! Сервис категорический отстой! Менеджеры хуже них не придумаешь. Мало того что они ходят как дохлые мухи , так и такое же обслуживание!!!",Знаток города 4 уровня,8 апреля 2019,1
Данила А.,Принимают машину на тех.обслуживание больше часа...,Знаток города 4 уровня,30 сентября 2019,1
Tatiana K.,Менеджеры очень позитивные! Всем рекомендую тест драйв мотоциклов!,Знаток города 3 уровня,18 августа 2019,5
Dmytryi Ivanov,"Отличный салон, при покупке всегда есть скидки. Компетентные менеджеры.",Знаток города 13 уровня,22 марта 2019,5
Ольга К.,"Не всегда конечно 5, но ..... молодцы",Знаток города 3 уровня,4 декабря 2019,5
ООО Б.,Екатерина Исакова самый лучший менеджер и оч хороший человек. Всё понравилось. Надеюсь приеду к вам ещё много раз. Спасибо,Знаток города 2 уровня,22 августа 2018,5
Алекс,Отличный сервис! Очень понравился профессиональный подход всего персонала станции!!! Всем рекомендую!!!,Знаток города 3 уровня,1 июня 2018,5
Касавага о.,"Огромный выставочный зал, аккуратно, менегеры не пристают",Знаток города 20 уровня,15 сентября 2019,5
Людмила Н.,Лучший дилер БМВ! Рекомендую!,Знаток города 5 уровня,13 ноября 2019,5
Алексей Вергунов,Сговорчивости больше.и скидок также,Знаток города 6 уровня,5 февраля,3
Сергей Зверев,"Побывав там, влюбился в марку!",Знаток города 6 уровня,9 марта,5
Андрей П.,"Развели на покупку машины, но не жалею))!",Знаток города 15 уровня,17 октября 2019,5
Сергей В.,По крайней мере менеджеры охотней общаются с клиентом. Не то что в борисхоф на энтузиастов.,Знаток города 14 уровня,30 августа 2019,4
Владимир Попков,Отлично очень спокойно,Знаток города 4 уровня,2 марта,5
ivan21122006,Хороший салон честные цены,Знаток города 9 уровня,8 декабря 2019,5
Вероника П.,"Вежливый персонал, хорошее обслуживание.",Знаток города 4 уровня,8 сентября 2019,5
Александр Жалыбин,Все очень хорошо. Работают профессионалы.,Знаток города 4 уровня,4 сентября 2019,5
Sergei V.,Отличный сервис! Здесь работают профессионалы.,Знаток города 5 уровня,30 июля 2019,5
Вован,"спасибо Николаю!мастер приёмщик мототехники! всё рассказал, всё объяснил по поводу моего мотоцикла!обязательно приеду обслуживать свой мот ещё!",Знаток города 7 уровня,11 апреля 2019,5
Тимофей И.,Большой выбор машин. Просторный салон. Есть незагруженные дороги рядом для тест драйва,Знаток города 9 уровня,16 сентября 2018,5
Roman S.,Грамотные менеджеры но не все,Знаток города 5 уровня,26 января,5
Василий Костин,Хотят кинуть с гарантией на машину.,Знаток города 2 уровня,27 ноября 2019,1
Алексей П.,"Отличное обслуживание клиентов, подобрали альтернативные варианты, проконсультировали по всем вопросам.",Знаток города 5 уровня,18 июля 2018,5
Данила С.,Доброжелательный персонал. Широкая линейка мототехники и мотопродукции. Вкусный кофе),Знаток города 4 уровня,6 июля 2018,5
Георгий И.,Профессионалы своего дела,Знаток города 4 уровня,26 декабря 2019,5
AnnetAnnet,Быстрое оформление документов,Знаток города 5 уровня,3 октября 2019,5
А_А Чернышёв,"Уютно, большой выбор, СГОВОРЧИВЫЕ менеджеры.",Знаток города 13 уровня,29 мая 2019,4
Рамиль А.,Сделать предложения более интересными и привлекательными,Знаток города 5 уровня,18 августа 2019,3
иван и.,"Был в отделе б/у машин , заинтересовал мерседес по телефону сказали про машину отдно по факту оказалость другое-уже никому верить нельзя даже официалам.",Знаток города 14 уровня,9 сентября 2019,3
Иван И.,"покупал мотоцикл, менеджер Михаил молодец, всем рекомендую",Знаток города 5 уровня,28 апреля 2019,5
Евгений С.,Были 1 день приняли хорошо. А второй день даже кофе не предложили,Знаток города 3 уровня,30 августа 2019,1
вася в.,Авилон! И этим всё сказано!,Знаток города 6 уровня,21 марта,5
Сергей Баландин,"Менеджер по продаже автомобиля с пробегом вместо того, чтоб заниматься клиентом, ответил: я занят, смотрите сами, я подойду. Мы развернулись и уехали в Автодом, где и купили машину.",Знаток города 2 уровня,5 августа 2018,1
Анонимный отзыв,"Если у вас мотоцикл БМВ, то Вам сюда. А Александр Македонский - сделает все остальное.",,29 апреля 2019,5
Ольга Илюшкевич,"На высоте, как всегда!",Знаток города 4 уровня,10 декабря 2019,5
Serg,"Был, видел, понравилось, денег не хватило. Делают маленькую скидку по Трэйд Ин. А так всё как у всех.",Знаток города 11 уровня,5 февраля 2019,3
Сергей И.,Делал ТО. Мне понравилось,Знаток города 3 уровня,23 октября 2019,5
FalconFOX,"Маловат и сервис пока на 4 , не вылизывают как мерседесе",Знаток города 14 уровня,25 сентября 2019,4
Рушан С.,Оператор про акцию говорил я уточнял у него по телефону когда приехал оказалось все не так по замене масла! Дезинформация и обман!больше в Авилон не поеду!,Знаток города 3 уровня,17 октября 2018,1
Алексей,Банкомат там хороший :),Знаток города 7 уровня,18 февраля,5
Белов Павел,Лучший дилер столицы,Знаток города 2 уровня,25 февраля,5
Евгений П.,Все зависит от менеджера,Знаток города 5 уровня,19 февраля,4
Moscow-City,"Хороший сервис, внимательный персонал.",Знаток города 7 уровня,20 августа 2019,5
СЕРГЕЙ А.,Лучший дилер БМВ!!!,Знаток города 4 уровня,25 октября 2019,5
Елена А.,Отличный коллектив! Прекрасеые специалисты 👍🏻,Знаток города 2 уровня,12 апреля 2019,5
Дмитрий В.,Отличный автосалон,Знаток города 5 уровня,25 октября 2019,5
roman и.,"Немного дезинформировал менеджер. В итоге я купил не то, что хотел)",Знаток города 7 уровня,11 августа 2019,3
Kupuk F.,Много авто с пробегом по реальным ценам,Знаток города 4 уровня,19 сентября 2019,5
Максим Д.,"Смена с зимней резины на летнюю за 5,5 (!) часов. Тотальный непрофессионализм.",Знаток города 5 уровня,23 апреля 2019,1
Федор Г.,Мастера продажи Авто,Знаток города 8 уровня,19 ноября 2019,4
Николай Н.,"Ждал менеджера больше часа, поэтому осталось не очень приятное ощущение от посещения",Знаток города 16 уровня,15 октября 2019,3
Адил Мишиев,Не такой крутой салон Авилон как на Волгоградке но тоже не плохо,Знаток города 17 уровня,21 июля 2019,5
Ирина Комаленкова,Работают быстро и слаженно.,Знаток города 17 уровня,11 сентября 2019,5
Дмитрий Б.,"Ехать не удобно, спасибо , что есть",Знаток города 7 уровня,21 августа 2019,3
Муслим,Чисто аккуратно вежливый персонал,Знаток города 8 уровня,7 июня 2019,5
Антон с.,Хороший автосалон,Знаток города 5 уровня,5 ноября 2019,5
Гущин Антон,"Дорого, богато!",Знаток города 8 уровня,16 ноября 2019,4
Александр Золотухин,Пользовался услугами сервиса. Все хорошо,Знаток города 13 уровня,1 июня 2019,5
Яша Стрюк,"Оставлял автомобиль на ТО, сложилось ощущение что машину помыли влажными салфетками)))) вроде премиальный салон, а элементарных вещей не выполняют.... больше не приеду и другим не советую",Знаток города 3 уровня,13 мая 2018,1
Dmitry,одним словом дилеры,Знаток города 7 уровня,28 октября 2019,4
Артём Г.,"Обслуживаю свой Авто там , нареканием нет , все отлично",Знаток города 7 уровня,26 октября 2018,5
Артем П.,Все очень долго.,Знаток города 7 уровня,12 октября 2019,4
Алексей У.,Отличный автосалон и отвратительнийший сервис ТО.,Знаток города 3 уровня,16 мая 2019,2
Коба М.,Отличное место для обмена старого автомобиля на новый,Знаток города 5 уровня,1 марта 2019,5
Юлдашев И.,Сам салон хороший 5 звезд но высокие %автокредит и то отдобрение нужно ждат больше суток,Знаток города 3 уровня,24 октября 2018,5
Lishtan,Отличный салон . Грамотные специалисты!,Знаток города 6 уровня,23 февраля 2019,5
Сергей Фомин,Мне понравилось,Знаток города 7 уровня,29 декабря 2019,5
Ильдар А.,"Все отлично , лучший Московский дилер БМВ",Знаток города 3 уровня,23 января 2019,5
dp-5139,"На старом месте, новая команда! Мотосалон в котором менеджеры умеют ездить и знают многое про экип.",Знаток города 8 уровня,24 августа 2019,5
Алексей И.,Очень качественно и быстро,Знаток города 4 уровня,15 июня 2019,5
Ва9им,Хороший салон,Знаток города 5 уровня,6 декабря 2019,5
Вадим Андросов,Всё чётко грамотно организовано,Знаток города 4 уровня,28 апреля 2019,4
dmitry y.,Стас рулит!!!,Знаток города 9 уровня,31 декабря 2019,5
Юрий Х.,Все супер )),Знаток города 4 уровня,5 марта,5
Евгений С.,"Приехал Купить автомобиль , при входе в салон спросил где туалет , надо мной усмехнулись и спросили : вы сюда в туалет приехали ? )))",Знаток города 2 уровня,24 мая 2018,2
Кристина С.,Лучшие мастера механического цеха,Знаток города 7 уровня,30 августа 2019,5
Святослав,"Отличный дилер BMW, знаменит более чем, Асатур продвигает неплохо",Знаток города 19 уровня,3 июля 2019,5
Дм П.,Станислав Карбачинский - лучший менеджер АВИЛОН!),Знаток города 13 уровня,20 марта 2019,5
Евгений Викторович,хорошой сервис хорошие мастера,Знаток города 14 уровня,27 августа 2019,5
Максим А.,"Отличный салон и шоу-рум. Заработаю денег на BMW, зайду ещё разок.",Знаток города 10 уровня,4 декабря 2019,5
Тамара,"Делаю там ТО, всем довольна.",Знаток города 9 уровня,19 сентября 2019,5
ОдинВторой,"Как и все салоны,в объявлении одно, по факту другое, и ты всегда будешь НЕ прав)",Знаток города 13 уровня,9 декабря 2019,1
Александр Полютин,Хороший центр,Знаток города 8 уровня,25 ноября 2019,4
Туман,"После звонка приняли в течении 30 минут, проезжал мимо. Сделали ТО, претензий нет. При затягивании сливной пробки, мастер использовал динамометрический ключ - радует.",Знаток города 2 уровня,26 февраля 2018,5
Весна Лето,Хорошие менеджеры. Все объяснили,Знаток города 15 уровня,17 июля 2019,4
Алексей,Очень компетентны и договороспособны,Знаток города 3 уровня,13 июля 2019,5
Farid G.,"Все бы ничего, если бы не медлительность... замена масла и фильтров 3 часа!!!🤦‍♂️ Цена на 10% дороже конкурентов",Знаток города 7 уровня,8 июля 2018,3
Руслан,Все дорого!,Знаток города 14 уровня,1 декабря 2019,3
Валера Д.,"В стадии реконструкции,открылся недавно. Но сервис авилон",Знаток города 7 уровня,15 января 2019,4
Александр Д.,Все плохо,Знаток города 2 уровня,5 ноября 2019,1
Netipichnii H.,Все круто,Знаток города 3 уровня,24 октября 2019,5
Max Otto v.,Здесь живут мотоциклы BMW,Знаток города 4 уровня,7 августа 2019,5
Владимир В.,Удобное расположение.,Знаток города 5 уровня,14 августа 2019,5
Николай,Красиво! :) Менеджеры не доматываются.,Знаток города 9 уровня,17 февраля 2019,5
Sergey I.,"Превосходный сервис, великолепное отношение.",Знаток города 7 уровня,17 октября 2018,5
Sergey S.,Профессиональный подход,Знаток города 8 уровня,5 августа 2019,4
Че,"Если о нем не знаешь, никогда не найдёшь. В остальном обычный автосалон.",Знаток города 6 уровня,29 октября 2018,4
Сергей В,Всё на 5,Знаток города 3 уровня,14 февраля,5
ty t.,"Спасибо, Александру!",Знаток города 3 уровня,16 августа 2019,5
Малышева М.,"Приехать легко, а вот выехать уже сложновато из-за пробок",Знаток города 6 уровня,11 января 2019,4
Михаил Ш.,В кафе карточки не принимают.,Знаток города 2 уровня,25 мая 2019,4
Юрий Яковлев,"Отличные ребята там работают , рекомендую!",Знаток города 8 уровня,11 сентября 2019,5
Андрей,"Хороший автосалон авто с пробегом,неплохая диагностика перед продажей",Знаток города 10 уровня,18 августа 2019,4
Алексей Б.,"Просто забрали мотоцикл, нормальный персонал!!!",Знаток города 5 уровня,9 декабря 2018,5
Джехун М,Не приветливый сотрудники,Знаток города 4 уровня,5 мая 2019,1
Александр,Консультантам явно мешают посетители)..,Знаток города 4 уровня,22 марта,2
Вячеслав,Отличный автосалон.,Знаток города 9 уровня,1 июля 2019,5
Николай К.,Отличный дилер Авилон,Знаток города 5 уровня,8 июня 2019,5
Дмитрий И.,"Все круто, обслуживание как в БМВ.",Знаток города 8 уровня,12 октября 2018,5
Павел Гладченко,Просто лучший мотосалон 👍,Знаток города 5 уровня,11 мая 2019,5
Дмитрий Дмитриев,"Нормально, но хороших авто с пробегом почти нет.",Знаток города 9 уровня,11 ноября 2018,4
Герман Т.,Хамство машины на картинках другие,Знаток города 2 уровня,9 марта 2019,2
Elimin Eli,"Все прекрасно, кроме цен...",Знаток города 2 уровня,6 декабря 2018,5
Владимир Копылов,Отличный официальный Диллер !!!,Знаток города 4 уровня,14 января 2019,5
Дарья,"В целом ничего не поменялось,",Знаток города 8 уровня,10 апреля 2019,4
madina3344,Хороший салон с приветливым персоналом,Знаток города 18 уровня,14 июня 2019,5
Олег М.,"Приезжайте, тут нет очереди на ТО.",Знаток города 11 уровня,16 марта 2019,5
Ашот О.,Большой выбор Авто спробегом!,Знаток города 3 уровня,1 января 2019,5
Андрей Н.,"Официальный дилер BMW, продажа и послепродажное обслуживание, trade-in.",Знаток города 10 уровня,6 мая 2018,5
Георгий С.,"4 звезды, потому что БМВ уже не тот",Знаток города 10 уровня,5 марта 2019,4
Макс Д,Отличное место,Знаток города 8 уровня,14 августа 2019,5
Ideafixfilms P.,Нереально вкусный борщ)),Знаток города 4 уровня,16 марта 2019,5
Алёна Н.,Отличный салон !,Знаток города 3 уровня,27 мая 2019,5
Кирилл Л.,"Мото отдел слабый - размеров нет, продавцов все время ждут в очередь",Знаток города 12 уровня,30 июня 2018,3
Анна К.,Отвратительный сервис,Знаток города 4 уровня,5 мая 2019,3
Альберт А.,Положительные отзывы здесь явно купленные )))),Знаток города 3 уровня,9 октября 2018,1
rtm81107,"Стараются, но не без нюансов",Знаток города 3 уровня,6 января 2019,4
Dmitry I.,"Пусто - персоналу до тебя нет никакого дела - ни на ресепшн, ни в отделе продаж подавно.",Знаток города 3 уровня,5 февраля 2018,1
Эрик М.,Лучший дилер БМВ!!! Всем рекомендую!!!!!И новые и Б/У!!!,Знаток города 13 уровня,30 мая 2018,5
Дима Р.,Песонал отношение к гостям,Знаток города 3 уровня,29 января 2019,1
teza t.,Все нормально,Знаток города 3 уровня,19 июня 2019,5
Aleksey A.,Менеджеры на вопрос отвечают мы заняты и все ша. Никакой консультации.,Знаток города 3 уровня,25 апреля 2018,1
Анна А.,Отличный салон!,Знаток города 6 уровня,12 мая 2019,5
Андрей К.,"Все круто, персонал хороший",Знаток города 5 уровня,15 июля 2018,5
Леонид Рыжиков,все качественно,Знаток города 6 уровня,1 марта 2019,5
Виктория М.,"Цены космос , некому нечего ненада",Знаток города 10 уровня,27 ноября 2018,2
Alien,Все очень удобно.,Знаток города 5 уровня,8 января 2019,4
Михаил М.,Отвратительное обсуживания !!!,Знаток города 3 уровня,18 января 2019,1
Андрей М.,Хороший автосалон!👍,Знаток города 9 уровня,27 февраля 2019,5
davtyan@exnet.ru,Зашел и вышел :),Знаток города 4 уровня,25 апреля 2019,5
Mikhail S.,Много машин. Менеджеры вялые.,Знаток города 8 уровня,29 ноября 2018,4
Оксана Ю.,Удобная парковка. Персонал адекватный.,Знаток города 7 уровня,15 декабря 2018,5
Александр Балабанов,все супер,Знаток города 11 уровня,20 сентября 2019,5
Вадим Камагин,Соответствует современным меркам по обслуживанию клиентов,Знаток города 5 уровня,12 января 2019,5
Lihobor,Покупал дождевик. Обслуживание хорошее.,Знаток города 6 уровня,22 апреля 2018,4
Алексей Ш.,"Супер место, значительно отличается от других центров",Знаток города 3 уровня,2 ноября 2018,5
Михаил Г.,Очень долго,Знаток города 3 уровня,21 июля 2019,3
Pavel Z.,Обслуживание хорошее 😊,Знаток города 5 уровня,30 января 2019,5
Артем В.,Качественный Автосалон,Знаток города 4 уровня,22 ноября 2018,5
Юлия Т.,Хороший автосалон,Знаток города 7 уровня,28 января 2019,5
Тигран Х.,Стараются вроде,Знаток города 4 уровня,28 января 2019,5
рон д.,Представлен весь ряд в разных комлектациях,Знаток города 6 уровня,31 марта 2018,5
Ка К.,Отличный салон БМВ,Знаток города 4 уровня,16 октября 2018,5
Дмитрий С.,машины четки там,Знаток города 8 уровня,20 января 2019,5
Сергей Романов,Специалисты по БМВ,Знаток города 11 уровня,17 ноября 2018,5
Алексей М.,Лучшие цены,Знаток города 9 уровня,19 июня 2019,4
Александр С.,больше туда не ногой,Знаток города 11 уровня,8 ноября 2018,1
Роман Ч.,хороший диллер,Знаток города 7 уровня,17 февраля 2019,5
Дмитрий Логинов,Удобное расположение.,Знаток города 10 уровня,13 июня 2018,5
Даниил Ц.,Хороший сервис .,Знаток города 2 уровня,29 сентября 2018,5
Светлана Н.,Мало консультантов,Знаток города 3 уровня,5 августа 2018,2
Александр К.,Качественный сервис.,Знаток города 2 уровня,3 июня 2018,5
Алексей Соседов,Отличный сервис,Знаток города 3 уровня,6 августа 2018,5
Павел А.,Хорошие журналы,Знаток города 8 уровня,8 июля 2018,5
Алексей и.,Отличный салон,Знаток города 7 уровня,12 июля 2018,4
Алексей М.,Всё супер!,Знаток города 9 уровня,2 августа 2018,5
Алексей K.,Просто обычный салон,Знаток города 12 уровня,11 сентября 2018,5
Александра Б.,"Райское местечко) купили здесь автомобиль,менеджер Виталий супер человек,открытый душевный,искреннийНе понравилось то что многое в автомобиле отличалось от того что мы смотрели перед тем как оставить задаток ,но все равно купили Менеджеры кредитного отдела не очень располагают к общению Самая вишенка на этом десерте это уголок для детей,большая плазма с креслами и игровая зона",Знаток города 10 уровня,27 декабря 2019,5
Михаил,"Обращался и приезжал (в феврале) в Адванс для покупки автомобиля.Изначально другие автосалоны не рассматривал, тк два моих знакомых купили интересующий меня авто по устраивающей меня цене именно здесь.Во время моего первого посещения выбрали авто и я озвучил, что хочу купить автомобиль на тех же условиях, что и два моих знакомых (знакомые покупали за 1-2 недели до меня). Менеджер сходил к руководителю продаж и как мне казалось мы зафиксировали стоимость. Зафиксировали стоимость без учета трейд-ина (я это несколько раз четко обозначил, тк на тот момент не решил буду ли сдавать авто или нет). Внес предоплату и приехал через неделю для оформления всех документов.Но оказалось, что зафиксированная стоимость это цена с учетом трейд-ина, что значительно отличалось от устраивающей меня стоимости. Во время 20-минутного разбирательства в текущей ситуации мне сказали, что вышло недоразумение и стоимость сейчас такая и у других дилеров нет конкурентных предложений, но самое дикое это было заявление (когда уже было понятно, что я немного расстроен и не собираюсь покупать авто), что ""дескать, что я потерял из-за того, что не удалось купить машину... ну всего лишь два раза съездил в автосалон (дословно!)"". Заявлять подобное клиенту это верх непрофессионализма и настоящее хамство.В итоге на следующий день съездил к другим четырем дилерам BMW, где у каждого получал лучшие условия. В итоге купил у дилера на севере на условиях значительно более выгодных (плюс много опций в подарок) и получил кучу положительных эмоций во время покупки автомобиля.",Знаток города 18 уровня,21 марта,2
Ярослав Ж.,"Отличный выбор Бмв с пробегом, очень гуманные цены. Хорошие менеджеры, подберут именно то , что вы хотите.Есть возможность сделать страховку и установить Дополнительное оборудование, как и у любого дилера.Единственный минус , что все Бмв с пробегом стоят в Шкоде, а туда придётся ещё дойти.",Знаток города 10 уровня,25 января,4
Айнур А.,"Отличный автосалон! Покупали автомобиль, приехали из Тюмени. Предлагает хорошие условия. Даже если возникают какие-то разногласия, делают все возможное чтобы найти решение, которое всех устроит. Особо хочу выделить менеджера Евгений Бендь, все сделал на высшем уровне! Одно маленькое неудобство : чтобы кофе был бесплатный, нужен менеджер. Думаю могут решить этот вопрос 😊",Знаток города 5 уровня,26 февраля,5
Светлана Е,"Интересно походить и посмотреть на премиальные авто. Конечно, кошелечек у меня не такой уж пухленький, но с удовольствием посидела в кабриолете BMW, примерилась к педалькам, подержала руль. Да, я люблю больше внедорожники. Но почему бы не устроить себе маленький праздник? Спасибо менеджерам, они не препятствуют никому посмотреть эти чудеса автомобильной техники.",Знаток города 12 уровня,9 октября 2019,5
Roman 060476,"Начну с положительного. Есть человек которое оставляет положительное впечатление о салоне - менеджер по продажам Шкурков Алексей. Даже после продажи он будет готов Вам помочь. Ну а сама продажа проходит комфортно, с учетом всех Ваших пожеланий, что не скажешь о его коллегах по цеху. На этом хорошее и заканчивается ... Категорически не рекомендую связываться с кузовным цехом данного заведения. Видимо то что они находятся в Фольсваген резко меняет отношение к клиенту. Так Хромова Анастасия совершенно спокойно может позволить повысить на Вас голос и обвинить что Вы не можете нормально изъясняться. После чего Вам позвонит рядом сидящая Гуськова и нервным тоном с металлическим голосом будет продолжать Вам объяснять Вашу неполноценность. Мастер приёмщик Пупков, при направлении ему наряд заказа "" Ну давай возьму, если некому больше "" Т. е. Вам изначально при обращении показывают, что Вам не рады. Вы же заставляете их работать, а без Вас так хорошо было... Клиенто ориентированность кузовного цеха минус 100 процентов. Из чего можно сделать вывод, что главное для данного заведения продать автомобиль (в моем случае БМВ) а дальше руководству данного заведения Вы не интересны",Знаток города 12 уровня,26 января,2
Big Bеn,Самые грамотные мастера!Самые красивые сотрудницы!Особую благодарность Мастеру Карелину Сергею за профессиональный и чуткий подход к своему делу! Покупать и обслуживать БМВ только здесь,Знаток города 15 уровня,21 февраля,5
Сергей Н.,"Имел неосторожность приобрести БМВ Х7 в этом салоне. Сделку сопровождала менеджер Полуянова Виктория. Прилетев из другого региона в назначенное заранее время в 14 ч . Машину смогли получить только к 20-30. Устанавливали автосигнализацию. Машину передавали на улице в сумеречную и дождливую погоду , не предоставив возможности осмотреть ее подробно. Затем уже понял, что делалось это умышленно, дабы скрыть имеющиеся у Авто недостатки, о которых работники автосалона проводя предпродажную подготовку не могли не знать. Руководитель клиентского отдела Фокина Елена никак на данную проблемную ситуацию не отреагировала. Ни в коем случае не связывайтесь с данной организацией. Никогда бы не подумал что у официального дилера марки БМВ может быть такое отношение к клиентам.В следующем отзыва обязательно напишу об отношении данного салона к исполнению гарантийных обязательств там все ещё хуже",Знаток города 2 уровня,17 октября 2019,1
